userId,itemId,rating,timestamp,text
1,2,5.0,1535939929239,When you have a person who is hard to shop for.. an amazon gift card is P E R F E C T.  Man or woman...  No matter what their hobby... lifestyle.. or age.  All you have to do is pick the $.  Don't forget to mention that it is a GIFT when you check out - you will have some gift card options.  I've ordered many of these over years.  They are always received with glee.  Woo hoo!  If you're looking for a great fit for me - this is just my size!  :)  Best to all!
1,3,5.0,1418439577000,"The tin is a nice touch and pretty large.  It's about 4&#34; in diameter and about 1/2&#34; thick.  I added a pretty red ribbon and it is perfect.  Who doesn't love shopping on Amazon? Arrived quickly, I have Prime... but I think they ship the gift cards out SUPER fast... like over night. In case you need it for a FAST gift."
10,9,5.0,1622787790140,Great gift for online shoppers!
16,12,5.0,1652642526420,Good gift card
16,13,5.0,1647201883803,Good Product
16,9,5.0,1594616189941,Good Product
27,13,5.0,1472217049000,Nice gift packaging for any event
27,12,5.0,1459026048000,Perfect and I even used Amazon Points - was mailed right out.
49,24,5.0,1653192933371,easy to use
68,9,5.0,1629478719766,"Those who already have everything, they can buy an audible book, an old rerun of a favorite movie, some little thing they may want, or whatever as a gift for any occasion. I recommend."
71,24,5.0,1640899215732,It’s easy to use and very convenient. I would definitely consider refill more in the future
80,5,5.0,1533005729879,Great
80,46,5.0,1520043800825,Neat way to give card
88,51,5.0,1434411554000,It's just a gift card.
88,53,5.0,1434410910000,It's a gift card!
92,9,5.0,1553691854778,What can you say about a gift card. Everyone loves them
96,57,5.0,1558913561187,All that it is supposed to be.  Quite handy.
97,24,5.0,1654861695912,$10 per week is my new way to save for Christmas.  Gives me $500 to spend at Christmas
99,46,5.0,1641589192208,Person I gave it to at Christmas already had things waiting in her cart!!!
103,3,5.0,1488082272000,"It's a gift card.  How can you really review this?  I can say that the person receiving it enjoyed having it, but I can't say there really is a criteria for a review"
105,60,5.0,1577938582035,Presents well!!
105,3,5.0,1531272632881,Perfect
110,24,5.0,1646052850671,Deposito rapido
114,12,5.0,1518512944606,Eat Fresh! I mean it Subway come on Subway is awesome.
121,12,5.0,1577727801685,"I give these to my kids all the time! They’re old enough to buy their own things, but it’s always nice to have someone else buy lunch!"
126,3,5.0,1638194601331,Great gift for the mailman!
126,13,5.0,1485523819000,Can not go wrong with an Amazon gift card for any occasion. I love these things!
129,3,5.0,1549217404826,for my granddaughter. She loves Amazon gift cards.
129,3,5.0,1549217254550,I purchased this for my Granddaughters birthday. She always loves Amazon gift cards.
130,9,5.0,1617346847395,"Looks nice and love the simple little black box. Arrived quick too; in 36 hours or so. I love giving Amazon gift cards. It's so much nicer to be able to hand someone a little gift box over an envelope, anyday."
